Alpha,Beta,Theta
0.0068227386434223,0.0352170084311786,-0.07211347491423
-0.0235235202261545,-0.022564426794557,0.0915142714057336
0.0190457326551733,-0.0016586502412112,0.1043087784407963
-0.0156207679067596,0.0201390495101389,-0.1291682683179504
-0.0150531889597875,-0.0276808524311121,0.1439512043862955
0.0388278624068454,0.0055074566336655,0.0019905867032807
0.0043757800933066,-0.0214494909898489,-0.1682959362595415
-0.0432845642116313,0.034335581539875,0.1587039180822293
0.0166240869917481,-0.0254882213392903,-0.143095170838881
-0.0062117888510562,-0.0134259784378231,0.1195427841574839
-0.0009985489301367,0.0186780855060359,-0.0918499068267282
-0.0072520689498749,0.0070468226005452,0.0906487265596376
0.0347990831307586,-0.0257713867775302,-0.2189402567300055
-0.0178863514925623,-0.0007073540290252,0.194077276720602
0.0234824962218993,-0.0004035684389656,-0.0275797046541775
-0.044552838122964,0.0297876521210165,-0.0170137613201256
-0.001766170845233,-0.0193588883290278,0.1317373559256779
0.0167845730831134,-0.0054519460438597,-0.118824053602152
0.005511796585878,-0.010895393632773,0.0836968476353437
-0.0387216433216202,0.0233840594788567,-0.2482318398329205
0.0252405450984496,0.0154617528835858,0.2152412074462582
0.0061354656189158,-0.0252742230006308,-0.0864725897734138
-0.008014898933974,0.0327639609928634,0.0996843313671508
-0.02873698248829,-0.0125283032853194,-0.0848008016585334
0.0450089555949786,-0.0115980105118279,0.0109892362048136
0.0006402389521043,-0.0022243201575947,-0.009284697995218
-0.0588894213128034,0.0083861803354016,0.0031505290573306
0.0566478879732633,0.0086889963776251,-0.0760987790680689
-0.0331661359235996,0.0046783369801492,0.1668647061991028
0.048842724288403,0.0125452656395891,-0.1030636555139426
-0.023136210656705,-0.0301124429510513,0.0813612484285092
0.0380447397158048,0.012322882090309,-0.054683541976304
-0.0544974155368434,-0.0077733661832202,-0.0222444195585543
0.0353826957226869,0.0020778456904064,-0.0407295291451251
-0.0509786865426972,0.0076491623788681,0.342428771218342
0.0514108152472841,-0.0082980689215294,-0.3058121504948404
-0.0476063021702386,0.0350602597931967,0.0363185742801316
0.0389332735470282,-0.0464531615553469,-0.0050786067467047
-0.0044497612531436,0.0066181742340671,0.0170632304391703
-0.0261828541451747,0.0256592762532987,-0.0217949748624874
0.0137618911110252,-0.0186236043336916,0.0744490268704488
0.0265415247823504,0.0014490486156005,-0.0892787615460017
-0.0260368767998101,-0.0011662539413074,-0.0001917173674649
0.0051315940147516,0.0228079220188038,-0.0370429832213423
0.0024451432208315,-0.0118292950962868,0.130419817125916
-0.0071208326750867,-0.0088127381075711,-0.1477820056296296
0.0210675531558673,-0.0030304257077835,0.023336093034905
-0.0110909952189375,0.0183216217067267,0.0990065248308415
-0.0029068710108413,-0.0297327006591776,-0.1456828986223889
-0.032365223235978,0.0112826467431378,0.2727997273542325
